total_bill,tip,sex,smoker,day,time,size,gbp_total,gbp_tips,yen_total,yen_tips,aus_total,aus_tips
16.99,1.01,Female,No,Sun,Dinner,2,13.761899999999999,0.8181,1800.9399999999998,107.06,10.8736,0.6464
10.34,1.66,Male,No,Sun,Dinner,3,8.3754,1.3446,1096.04,175.95999999999998,6.6176,1.0624
21.01,3.5,Male,No,Sun,Dinner,3,17.018100000000004,2.835,2227.06,371,13.4464,2.24
23.68,3.31,Male,No,Sun,Dinner,2,19.1808,2.6811000000000003,2510.08,350.86,15.1552,2.1184000000000003
24.59,3.61,Female,No,Sun,Dinner,4,19.9179,2.9241,2606.54,382.65999999999997,15.7376,2.3104
25.29,4.71,Male,No,Sun,Dinner,4,20.4849,3.8151,2680.74,499.26,16.1856,3.0144
8.77,2,Male,No,Sun,Dinner,2,7.1037,1.62,929.62,212,5.6128,1.28
26.88,3.12,Male,No,Sun,Dinner,4,21.7728,2.5272,2849.2799999999997,330.72,17.2032,1.9968000000000001
15.04,1.96,Male,No,Sun,Dinner,2,12.1824,1.5876000000000001,1594.24,207.76,9.6256,1.2544
14.78,3.23,Male,No,Sun,Dinner,2,11.9718,2.6163000000000003,1566.6799999999998,342.38,9.4592,2.0672
10.27,1.71,Male,No,Sun,Dinner,2,8.3187,1.3851,1088.62,181.26,6.5728,1.0944
35.26,5,Female,No,Sun,Dinner,4,28.5606,4.050000000000001,3737.56,530,22.566399999999998,3.2
15.42,1.57,Male,No,Sun,Dinner,2,12.490200000000002,1.2717,1634.52,166.42000000000002,9.8688,1.0048000000000001
18.43,3,Male,No,Sun,Dinner,4,14.9283,2.43,1953.58,318,11.7952,1.92
14.83,3.02,Female,No,Sun,Dinner,2,12.012300000000002,2.4462,1571.98,320.12,9.491200000000001,1.9328
21.58,3.92,Male,No,Sun,Dinner,2,17.4798,3.1752000000000002,2287.48,415.52,13.8112,2.5088
10.33,1.67,Female,No,Sun,Dinner,3,8.3673,1.3527,1094.98,177.01999999999998,6.6112,1.0688
16.29,3.71,Male,No,Sun,Dinner,3,13.1949,3.0051,1726.74,393.26,10.4256,2.3744
16.97,3.5,Female,No,Sun,Dinner,3,13.7457,2.835,1798.82,371,10.8608,2.24
20.65,3.35,Male,No,Sat,Dinner,3,16.7265,2.7135000000000002,2188.8999999999996,355.1,13.216,2.144
17.92,4.08,Male,No,Sat,Dinner,2,14.515200000000002,3.3048,1899.5200000000002,432.48,11.468800000000002,2.6112
20.29,2.75,Female,No,Sat,Dinner,2,16.4349,2.2275,2150.74,291.5,12.9856,1.76
15.77,2.23,Female,No,Sat,Dinner,2,12.7737,1.8063,1671.62,236.38,10.0928,1.4272
39.42,7.58,Male,No,Sat,Dinner,4,31.930200000000003,6.1398,4178.52,803.48,25.228800000000003,4.8512
19.82,3.18,Male,No,Sat,Dinner,2,16.0542,2.5758,2100.92,337.08000000000004,12.684800000000001,2.0352
17.81,2.34,Male,No,Sat,Dinner,4,14.4261,1.8954,1887.86,248.04,11.398399999999999,1.4976
13.37,2,Male,No,Sat,Dinner,2,10.8297,1.62,1417.22,212,8.556799999999999,1.28
12.69,2,Male,No,Sat,Dinner,2,10.2789,1.62,1345.1399999999999,212,8.121599999999999,1.28
21.7,4.3,Male,No,Sat,Dinner,2,17.577,3.483,2300.2,455.79999999999995,13.888,2.752
19.65,3,Female,No,Sat,Dinner,2,15.9165,2.43,2082.8999999999996,318,12.575999999999999,1.92
9.55,1.45,Male,No,Sat,Dinner,2,7.735500000000001,1.1745,1012.3000000000001,153.7,6.112000000000001,0.9279999999999999
18.35,2.5,Male,No,Sat,Dinner,4,14.863500000000002,2.0250000000000004,1945.1000000000001,265,11.744000000000002,1.6
15.06,3,Female,No,Sat,Dinner,2,12.1986,2.43,1596.3600000000001,318,9.6384,1.92
20.69,2.45,Female,No,Sat,Dinner,4,16.7589,1.9845000000000004,2193.1400000000003,259.70000000000005,13.241600000000002,1.568
17.78,3.27,Male,No,Sat,Dinner,2,14.401800000000001,2.6487000000000003,1884.68,346.62,11.3792,2.0928
24.06,3.6,Male,No,Sat,Dinner,3,19.4886,2.9160000000000004,2550.3599999999997,381.6,15.398399999999999,2.3040000000000003
16.31,2,Male,No,Sat,Dinner,3,13.2111,1.62,1728.86,212,10.4384,1.28
16.93,3.07,Female,No,Sat,Dinner,3,13.7133,2.4867,1794.58,325.41999999999996,10.8352,1.9647999999999999
18.69,2.31,Male,No,Sat,Dinner,3,15.138900000000001,1.8711000000000002,1981.14,244.86,11.9616,1.4784000000000002
31.27,5,Male,No,Sat,Dinner,3,25.3287,4.050000000000001,3314.62,530,20.0128,3.2
16.04,2.24,Male,No,Sat,Dinner,3,12.9924,1.8144000000000002,1700.24,237.44000000000003,10.2656,1.4336000000000002
17.46,2.54,Male,No,Sun,Dinner,2,14.142600000000002,2.0574000000000003,1850.76,269.24,11.1744,1.6256000000000002
13.94,3.06,Male,No,Sun,Dinner,2,11.291400000000001,2.4786,1477.6399999999999,324.36,8.9216,1.9584000000000001
9.68,1.32,Male,No,Sun,Dinner,2,7.840800000000001,1.0692000000000002,1026.08,139.92000000000002,6.1952,0.8448000000000001
30.4,5.6,Male,No,Sun,Dinner,4,24.624,4.536,3222.3999999999996,593.5999999999999,19.456,3.5839999999999996
18.29,3,Male,No,Sun,Dinner,2,14.8149,2.43,1938.74,318,11.7056,1.92
22.23,5,Male,No,Sun,Dinner,2,18.006300000000003,4.050000000000001,2356.38,530,14.2272,3.2
32.4,6,Male,No,Sun,Dinner,4,26.244,4.86,3434.3999999999996,636,20.736,3.84
28.55,2.05,Male,No,Sun,Dinner,3,23.125500000000002,1.6604999999999999,3026.3,217.29999999999998,18.272000000000002,1.3119999999999998
18.04,3,Male,No,Sun,Dinner,2,14.612400000000001,2.43,1912.24,318,11.5456,1.92
12.54,2.5,Male,No,Sun,Dinner,2,10.157399999999999,2.0250000000000004,1329.24,265,8.025599999999999,1.6
10.29,2.6,Female,No,Sun,Dinner,2,8.3349,2.1060000000000003,1090.74,275.6,6.5855999999999995,1.6640000000000001
34.81,5.2,Female,No,Sun,Dinner,4,28.196100000000005,4.212000000000001,3689.86,551.2,22.2784,3.3280000000000003
9.94,1.56,Male,No,Sun,Dinner,2,8.051400000000001,1.2636,1053.6399999999999,165.36,6.3616,0.9984000000000001
25.56,4.34,Male,No,Sun,Dinner,4,20.7036,3.5154,2709.3599999999997,460.03999999999996,16.3584,2.7776
19.49,3.51,Male,No,Sun,Dinner,2,15.7869,2.8431,2065.94,372.06,12.4736,2.2464
38.01,3,Male,Yes,Sat,Dinner,4,30.7881,2.43,4029.06,318,24.3264,1.92
26.41,1.5,Female,No,Sat,Dinner,2,21.392100000000003,1.215,2799.46,159,16.9024,0.96
11.24,1.76,Male,Yes,Sat,Dinner,2,9.1044,1.4256000000000002,1191.44,186.56,7.1936,1.1264
